employee_id,name,location,role,employment_type,hourly_rate,hire_date,term_date
1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,2019-10-30,
1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,2021-12-30,
1003,Quinn Roy,YYC-DT,Assistant Manager,PERM,21.28,2018-12-04,2020-05-05
1004,Riley Li,YYC-DT,Bookseller,PERM,17.21,2023-02-21,
1005,Sage Brown,YYC-DT,Bookseller,PERM,21.7,2021-06-30,
1006,Jessie Foster,YYC-DT,Bookseller,PERM,20.9,2022-12-07,
1007,Elliot Smith,YYC-DT,Bookseller,PERM,21.68,2021-02-02,
1008,Spencer Patel,YYC-DT,Bookseller,PERM,18.9,2023-09-22,
1009,Sam Nguyen,YYC-DT,Bookseller,PERM,18.45,2022-09-16,
1010,Taylor Martin,YYC-DT,Seasonal Associate,SEASONAL,16.46,,
1011,Riley Hughes,YYC-DT,Seasonal Associate,SEASONAL,16.61,,
1012,Robin Nguyen,YYC-DT,Seasonal Associate,SEASONAL,17.36,,
1013,Elliot Martin,YYC-DT,Seasonal Associate,SEASONAL,17.78,,
1014,Skyler Adams,YYC-DT,Seasonal Associate,SEASONAL,17.35,,
1015,Skyler Gagnon,YYC-DT,Seasonal Associate,SEASONAL,17.66,,
1016,Reese Roy,YYC-DT,Warehouse Clerk,PERM,20.17,2018-11-07,2020-07-22
1017,Brooklyn White,YYC-DT,Warehouse Clerk,PERM,19.31,2019-10-24,
1018,Quinn Nguyen,YYC-DT,E‑Commerce Specialist,PERM,26.33,2020-11-07,
1019,Avery Campbell,YYC-NW,Store Manager,PERM,32.17,2023-01-26,
1020,Reese Turner,YYC-NW,Assistant Manager,PERM,22.77,2022-07-01,
1021,Quinn Li,YYC-NW,Bookseller,PERM,19.9,2023-06-01,
1022,Casey Gordon,YYC-NW,Bookseller,PERM,19.95,2018-10-07,
1023,Hayden Brown,YYC-NW,Bookseller,PERM,21.0,2023-12-02,
1024,Taylor Chen,YYC-NW,Bookseller,PERM,17.93,2018-08-11,
