employee_id,name,location,role,employment_type,hourly_rate,hire_date,term_date,dataset
1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,10/30/2019,,bookstore_employees
1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,12/30/2021,,bookstore_employees
1003,Quinn Roy,YYC-DT,Assistant Manager,PERM,21.28,12/4/2018,5/5/2020,bookstore_employees
1004,Riley Li,YYC-DT,Bookseller,PERM,17.21,2/21/2023,,bookstore_employees
1005,Sage Brown,YYC-DT,Bookseller,PERM,21.7,6/30/2021,,bookstore_employees
1006,Jessie Foster,YYC-DT,Bookseller,PERM,20.9,12/7/2022,,bookstore_employees
1007,Elliot Smith,YYC-DT,Bookseller,PERM,21.68,2/2/2021,,bookstore_employees
1008,Spencer Patel,YYC-DT,Bookseller,PERM,18.9,9/22/2023,,bookstore_employees
1009,Sam Nguyen,YYC-DT,Bookseller,PERM,18.45,9/16/2022,,bookstore_employees
1010,Taylor Martin,YYC-DT,Seasonal Associate,SEASONAL,16.46,,,bookstore_employees
1011,Riley Hughes,YYC-DT,Seasonal Associate,SEASONAL,16.61,,,bookstore_employees
1012,Robin Nguyen,YYC-DT,Seasonal Associate,SEASONAL,17.36,,,bookstore_employees
1013,Elliot Martin,YYC-DT,Seasonal Associate,SEASONAL,17.78,,,bookstore_employees
1014,Skyler Adams,YYC-DT,Seasonal Associate,SEASONAL,17.35,,,bookstore_employees
1015,Skyler Gagnon,YYC-DT,Seasonal Associate,SEASONAL,17.66,,,bookstore_employees
1016,Reese Roy,YYC-DT,Warehouse Clerk,PERM,20.17,11/7/2018,7/22/2020,bookstore_employees
1017,Brooklyn White,YYC-DT,Warehouse Clerk,PERM,19.31,10/24/2019,,bookstore_employees
1018,Quinn Nguyen,YYC-DT,E‑Commerce Specialist,PERM,26.33,11/7/2020,,bookstore_employees
1019,Avery Campbell,YYC-NW,Store Manager,PERM,32.17,1/26/2023,,bookstore_employees
1020,Reese Turner,YYC-NW,Assistant Manager,PERM,22.77,7/1/2022,,bookstore_employees
